id,sentence,dialect
1,"માં
વહી જતું વધારાનું પાણી હવે અટકશે : ડેમ કાર્યરત થતાં જ પાક",kathiawari
2,કોબી  ભાવે😂😂😂😂😂😂,surti
3,હોલટિકિટ આપશે એ પ્રમાણે ત્યાં બુક્સ પણ સબમિટ કરવાની છે અને અડધો-પોણો કલાકની પરીક્ષા પણ આપવાની છે,standard_gujarati
4,"તારિક રહેમાનની સરકારમાં 25 કેબિનેટ મંત્રી અને 24 રાજ્ય મંત્રી સામેલ
થશે",kathiawari
5,અરે ભાઈ આ NRI જોરદાર છે...એને બધી બહુ ભાષા આવડે છે 😂😂,charotari
6,સુરત થી !! કાથી સુરત થી !!❤,surti
7,વાહ વાહ ધીરૂભાઈ,surti
8,પેલાં તારી યાદ આવી ❤️ પછી તારો call આવ્યો 🥰 ભોળી તારી ઉંમર વધી ગઈ ⚠️ These Lines Are 👑💛,surti
9,તળાવમાં માછલીઓના સામુહિક મોતને કારણે વિસ્તારમાં અસહ્ય દુર્ગંધ ફેલાઈ છે,standard_gujarati
10,4 અમદાવાદી છે કે મહેસાણી?,charotari
11,રાડો પાડે એમ ન બોલે..બૂમ પાડે એમ બોલે..,charotari
12,હા સાવજો હા મારું ગરવી ગુજરાત...ધન છે મારા ગુજરાત ને ... ધન છે એ ગુજરાત ની ધરતી ને,surti
13,ભાઈ બનાવો બનાવો....... મજા આવે છે...... આવા વિડિયો ની જરૂર છે..... હવે બીજી કોઈ સિરિયલ પકડો...... 🤣🤣🤣🤣🤣,surti
14,"જેમાં આલિશાન શરાફૂના 38 દડામાં પ ચોક્કા-1
છક્કાથી 4પ રન મુખ્ય હતા",kathiawari
15,ઃ ગુજરાતના અંદાજપત્રમાં કૃષિ ખેડૂત કલ્યાણ અને સહકાર ક્ષેત્ર માટે રૂ,kathiawari
16,વાહ વાહ સરસ છે હો વાહ વાહ વાહ,surti
17,જમણા હાથ ની કોણી,charotari
18,ગભા ને લ્યાવો ને ભા,charotari
19,Amnu નામ આજે j સાંભળ્યું છે 😜 કોણ છે Freddy,surti
20,"હાય જે.વી.ભાઈ તમારા બધા વિડીયો હું 
જોવું સુ પણ તમે પણ 
કાય નવુ લાવો ને કે તમારા સાથે એક 
સેલ્ફી જોવે સે",surti
21,એકદમ st બસ જેવું જ હતું શરૂઆત માં,kathiawari
22,મત્સ્ય ઉતરાણ કેન્દ્રો ખાતે માળખાકીય સુવિધાઓ ઊભી કરવા માટે રૂ,kathiawari
23,"ક્ષ      ગુજરાતના અંદાજપત્રમાં
ખેતી ક્ષેત્રે રૂ",kathiawari
24,જય સ્વમિનારાયણ 🙏🙏🙏,surti
25,આ બાબત સરકાર માટે ખૂબ જ ચિંતાજનક છે,standard_gujarati
26,હાલની કરાઈ પોલીસ એકેડેમીમાં સ્પોર્ટ્સની જે સુવિધાઓ છે તેમાં ઇન્ટરનેશનલ કક્ષાની સુવિધાઓ ઊભી કરાશે,standard_gujarati
27,પૈસા માટે ધર્મ નું અપમાન કરો છો,charotari
28,એર ક્વોલોટી મોનીટરીંગ સ્ટેશન પર ગયા ત્યારે એક બારી તુટેલી હાલતમાં હતી,standard_gujarati
29,"સમય જતાં અહીં નદી કાંઠાના ખરાબામાં રહેણાક
વધતા ગયાં",kathiawari
30,હાલમાં માછીમારો માટે દરિયો ન ખેડવા અંગેની કોઈ ચેતવણી જાહેર કરવામાં આવી નથી,standard_gujarati
