id,sentence,dialect,label
412,આમ છતાં પાલિકા તંત્ર દ્વારા અગાઉ આ વિસ્તારમાં રોડ રસ્તા ખોદીને વ્યવસ્થિત રીતે પેવર બ્લોક નાખવામાં આવ્યા હતા,standard_gujarati,1
251,આ પ્રસંગે ઉપસ્થિત સૌએ પર્યાવરણ સંરક્ષણ માટે વધુ વૃક્ષારોપણ અને વૃક્ષ સંવર્ધનનો સંકલ્પ લીધો,standard_gujarati,1
1087,ધન્ય વાદ ધીરુભાઈ ધન્ય વાદ ધન્ય વાદ,surti,2
406,હાલની કરાઈ પોલીસ એકેડેમીમાં સ્પોર્ટ્સની જે સુવિધાઓ છે તેમાં ઇન્ટરનેશનલ કક્ષાની સુવિધાઓ ઊભી કરાશે,standard_gujarati,1
761,"સ્ટેન્ડિંગ કમિટી ચેરમેન દેવાંગ દાણીએ જણાવ્યું હતું કે, વારંવાર ગરમ થતા તેલમાં ટીપીસી વેલ્યુ વધવાથી કોલેસ્ટ્રોલ વધે છે, જે હૃદયરોગ અને કેન્સર જેવી બીમારીઓ નોંતરે છે",standard_gujarati,1
1335,મેહસાણા ની ભાષા બોલતા નથી આવડતી મહેસાણા ની ભાષા બોલવા માટે મહેસાણામાં જન્મ લેવો પડે,charotari,0
542,બોમ્બની ધમકી મળતાં જ સ્કૂલોમાં વાલીઓ બાળકોને લેવા દોડી આવ્યા હતા અને સૌના જીવ તાળવે ચોંટ્યા હતાં,standard_gujarati,1
48,મને મજા અાવી પડી નથી,charotari,0
1364,"વાહ માયાભાઈ વાહ ખૂબ સરસ મોજ 
કરાવી હો જમાવટ કરી આતા
લવજીભાઈ માવાણી કામરેજ સુરત 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉",surti,2
993,ત્યારબાદ દીપડાના મૃતદેહને પોસ્ટમોર્ટમ માટે અમદાવાદ ખસેડવામાં આવ્યો છે,standard_gujarati,1
1302,હા ગોપાલભાઈ 👍👍👍👍👍,surti,2
777,"અમદાવાદ શહેરના પશ્ચિમ વિસ્તારમાં ચોરીના બનાવ સતત વધુ રહ્યા છે, ત્યારે તસ્કરોએ નારણપુરામાં આવેલું હવામાન વિભાગની ઓફિસમાં ચોરી કરી છે",standard_gujarati,1
1139,"કચ્છી માં તો વાક્ય બોલો યાર, અમને કા ભૂલી જાઓ છો, વાક્ય:- માં મને એક ગ્લાસ પાણી આપશો...!! કચ્છી માં ભાષાંતર:- માં મોકે હેકડો ગ્લાસ પાણી ડેઈને...!!",charotari,0
804,જય સીયારામ. સારૂં. બોલો છો ભાઈ,surti,2
386,જય માતાજી બધા મિત્રો ને મારા તરફથી ખુબ ખુબ આભાર 👑👑👑👑👑👑👑👑,surti,2
932,"ધીરૂ ભાઈ બિન હરિફ છે 🙏😄
ખુબજ  અભિનંદન  ભાઇ",surti,2
608,42% જોનારા subscribe કરે છે અને58% એમનેમ જુએ છે,charotari,0
178,વાહવાહ હિતેશભાઈ વાહ,surti,2
89,માછીમારોને આગામી દિવસોમાં દરિયામાં ન જવા સૂચના આપવામાં આવી છે,standard_gujarati,1
647,"અવકાશમાં વાદળો છવાઈ જવા સાથે ઠંડીનું પ્રમાણ ઘટી જવા પામ્યો છે અને વાતાવરણ ધૂંધળું બન્યું છે, સાથે ભેજના પ્રમાણમાં પણ નોંધપાત્ર વધારો થયો છે ત્યારે આ બદલાયેલા માહોલને પગલે ધરતી પુત્રોની ચિંતામાં વધારો થયો છે",standard_gujarati,1
210,માયાભાઈ આપ કાયમ માટે હસાવતા રહેશો એવી પ્રાર્થના,surti,2
954,ત્યારે કોર્પોરેશને ચાર-પાંચ દિવસની મહેલત આપવાની વિનંતી કરી હતી અને કહ્યું હતું કે કોર્પોરેશન શક્ય હોય તો વેન્ડર્સને કઇ રીતે રિલોકેટ કરી શકે એની ચકાસણી કરવા સમય આપો,standard_gujarati,1
1088,પોતાના ઉદ્દબોધનમાં તેમણે પર્યાવરણ જાગૃતિ અંગે માર્ગદર્શન આપ્યું અને શાળાને પ્લાસ્ટિક મુક્ત બનાવવા માટે કોઈપણ પ્રકારની પ્લાસ્ટિક વસ્તુઓનો ઉપયોગ ન કરવાનો સંકલ્પ લેવડાવ્યો,standard_gujarati,1
1253,પોલીસે પકડાયેલા આરોપીઓ વિરુદ્ધ કાયદેસરની કાર્યવાહી હાથ ધરી છે,standard_gujarati,1
1384,કોર્પોરેશન હસ્તક આ સત્તા આવે છે,standard_gujarati,1
704,જન્મ દિવસની ખૂબ ખૂબ શુભેચ્છા હાસ્ય સમ્રાટ 🎉,charotari,0
654,ભજીયા ની મોજ હા ભાઈ હા,charotari,0
295,"વાહ,નિર્મળદાન ભારે જમાવટ",surti,2
1123,સાહેબ જીવનની સાચી સમજણ છે પણ શબ્દો તમારા ઉત્તમ જીવન માઉતારવા અને સમજવા જેવું,charotari,0
613,"મારાં ભાગ્યનો કોઈ પાર નથી... કેમ કે જેને આ લોકનું કંઈ જોઈએ નહીં એવા સંતો અને એવા હરિભક્તો મને મળ્યા છે... આ જન્મ ખરેખર સાર્થક થઇ ગયો...
જય સ્વામિનારાયણ વ્હાલાં સંતો ભક્તો...",surti,2
652,શિરીષભાઈની સોસાયટી રીડેવલપમેન્ટમાં જવાની હોવાથી તેમણે બીજી જગ્યાએ મકાન લેવાનું નક્કી કર્યું હતું,standard_gujarati,1
599,સરસબેન સુપર ભાઈ છે,surti,2
433,પારસી અને બોરી (વોહરા)લોકો ની ભાષા પણ ઉમેરી હોત તો સરસ!,charotari,0
1467,આ બાપબેટાની જોડી કોને ગબેછે એક બીજા ના માથા ભાગે એવાછે😂,surti,2
550,વાહ માયા ભાઈ વાહ,charotari,0
262,વાહ તેજલબેન જોરદાર,charotari,0
1121,ગજબનો કોમેડિયન છે મને પન લો તમારી સાથે કામ કરવા માટે,charotari,0
1184,ફેદરા અને આસપાસના ગ્રામ્ય વિસ્તારોમાં છેલ્લા થોડા સમયથી વન્યજીવોની અવરજવર જોવા મળી રહી છે,standard_gujarati,1
765,ખેડૂતો દ્વારા અનેક વખત રજૂઆતો કરવા છતાં તંત્ર તરફથી માત્ર આશ્વાસન મળતું હતું,standard_gujarati,1
394,આ બાબતને કેન્દ્રમાં રાખીને આ માસ્ટર પ્લાન ઘડાયો છે,standard_gujarati,1
648,કાજલબેનની આ પહેલ યુવાનો અને સમાજના અન્ય વર્ગો માટે પ્રેરણાદાયક બની રહી છે,standard_gujarati,1
146,વાહ.ધીરુભાઈ .વાહ,surti,2
1317,પોસ્ટમોર્ટમ રિપોર્ટ આવ્યા બાદ જ દીપડાનું મોત કુદરતી કારણોસર થયું છે કે અકસ્માતજન્ય છે અથવા અન્ય કોઈ પરિબળ જવાબદાર છે તે અંગે સ્પષ્ટતા થશે,standard_gujarati,1
818,આનો વિરોધ કરવો જોઇએ,charotari,0
1293,મહેસાણા વાળા એ માયા આહીર નું કંઈક બગાડ્યું હશે તો જ એમની મજાક ઉડાડે છે સોશિયલ મીડિયામાં😂,charotari,0
875,દરેક એડવોકેટ સભ્ય માટે અલગ મોબાઈલ એપ ઉપલબ્ધ કરાવાશે,standard_gujarati,1
447,અમિતભાઈ. આપનો પ્રયતન સારો રહ્યો પણ શોધી પણ એક પણ હાશય કલાકાર નો અવાજ બંધ બેચતો નથી .મે લગભગ બધાજ હાચ્ચય કલાકાર ને સાંભળયા સે માટે આપનો પોતાનો અવાજ બરાબર સે,charotari,0
726,"એક આદર્શ પૃષ્ઠભૂમિ...
કોઇપણ ગુજરાતી વૈષયિક કલાકાર માટે...
મનનભાઇ અને લવારી ટીમને ખાસ અભિનંદન...
ગુજરાતી ભાષાને ફરી વાચા આપવા બદલ ....",surti,2
781,1.સોન્ગ ભાઈ.👌👌👍👍👍,surti,2
1277,જય માતાજી બધા ભાઈ ને ❤,surti,2
