id,sentence,dialect,source
1,જોરદાર વીડિયો છે,charotari,balanced
2,Nice જોરદાર એક્ટિંગ મુકેશ ભાઈ,charotari,balanced
3,જોરદાર ભાઇઓ મજા આવી ગઈ 😅,charotari,balanced
4,એ નવા વર્ષના રામ રામ,charotari,balanced
5,ખૂબ સરસ બના વોછે,charotari,balanced
6,અરે ભાઈ આ NRI જોરદાર છે...એને બધી બહુ ભાષા આવડે છે 😂😂,charotari,balanced
7,લહેરી ભગત નો આ કૉમેડી પ્રોગ્રામ કેવો લાગ્યો પ્લીસ કોમેન્ટ અને શેર લાઈક કરવા વિનંતી,charotari,balanced
8,સુ ભગત તમારી કોમેડી હો બાપુ,charotari,balanced
9,લહેરી ભગત ખરેખર જૂની નવી પેઢી નો સંગમ છે. એમને સલામ💐💐💐💐💐,charotari,balanced
10,સાહેબ તમારો નંબર આપો,charotari,balanced
11,લાલભા ની કોમેડી કેવી લાગે છે ❤❤,charotari,balanced
12,બાદશાહ ભાઈ ઝુપડી ના રાજા છે😎😁🔥,charotari,balanced
13,‼️કૃષ્ણ સદા સહાયતે❤ ‼️,charotari,balanced
14,કૃષ્ણ સદા સહાયતે❤❤,charotari,balanced
15,રાજા.રણછોડ. તમારી.ટીમ.ની.બધી.મનોકામના પરિપૂર્ણ. કરે,charotari,balanced
16,થોડા શોટ સમય માં તમારું કન્ટેન્ટ બનાવો.,charotari,balanced
17,ખુબ સરસ માહિતી ❤,charotari,balanced
18,ખુંબ ખુંબ અભિનંદન 🎉જય સ્વામિનારાયણ 🙏,charotari,balanced
19,ઘડીએ ઘડીએ આ માણસ. આ માણસને પહોંચાય નહિ. માણસ અદભુત છે. માણસ..... માણસ.... માણસ... માણસ..માણસ. માણસ સિવાય કાંઈ નહિ.,charotari,balanced
20,42% જોનારા subscribe કરે છે અને58% એમનેમ જુએ છે,charotari,balanced
21,"ચૌધરી,ગામીત,વસાવા,ભીલ,કુંકણા",charotari,balanced
22,બીજા વાળા કોમેડી વિડીયો મોકલવા માટે વિનંતી,charotari,balanced
23,ઇંગલિશ માં જ બોલવું છે તો શિખડાય ની ને 😮,charotari,balanced
24,"કચ્છી માં તો વાક્ય બોલો યાર, અમને કા ભૂલી જાઓ છો, વાક્ય:- માં મને એક ગ્લાસ પાણી આપશો...!! કચ્છી માં ભાષાંતર:- માં મોકે હેકડો ગ્લાસ પાણી ડેઈને...!!",charotari,balanced
25,Ohh આસ્માં ભાસ્માસા મસ્મને અસ્માખી અસ્માવડે છેસ્મે 😊😮🎉,charotari,balanced
26,આ ભાષા માં ' હોશિયારી ' શબ્દ કઈ રીતે બોલાય ?,charotari,balanced
27,મારે નથી શીખવી અટલી અઘરી language 🙏,charotari,balanced
