id,sentence,dialect,source
1,જોરદાર વીડિયો છે,charotari,youtube_comments
2,Nice જોરદાર એક્ટિંગ મુકેશ ભાઈ,charotari,youtube_comments
3,જોરદાર ભાઇઓ મજા આવી ગઈ 😅,charotari,youtube_comments
4,એ નવા વર્ષના રામ રામ,charotari,youtube_comments
5,ખૂબ સરસ બના વોછે,charotari,youtube_comments
6,અરે ભાઈ આ NRI જોરદાર છે...એને બધી બહુ ભાષા આવડે છે 😂😂,charotari,youtube_comments
7,લહેરી ભગત નો આ કૉમેડી પ્રોગ્રામ કેવો લાગ્યો પ્લીસ કોમેન્ટ અને શેર લાઈક કરવા વિનંતી,charotari,youtube_comments
8,સુ ભગત તમારી કોમેડી હો બાપુ,charotari,youtube_comments
9,લહેરી ભગત ખરેખર જૂની નવી પેઢી નો સંગમ છે. એમને સલામ💐💐💐💐💐,charotari,youtube_comments
10,સાહેબ તમારો નંબર આપો,charotari,youtube_comments
11,લાલભા ની કોમેડી કેવી લાગે છે ❤❤,charotari,youtube_comments
12,બાદશાહ ભાઈ ઝુપડી ના રાજા છે😎😁🔥,charotari,youtube_comments
13,‼️કૃષ્ણ સદા સહાયતે❤ ‼️,charotari,youtube_comments
14,કૃષ્ણ સદા સહાયતે❤❤,charotari,youtube_comments
15,રાજા.રણછોડ. તમારી.ટીમ.ની.બધી.મનોકામના પરિપૂર્ણ. કરે,charotari,youtube_comments
16,થોડા શોટ સમય માં તમારું કન્ટેન્ટ બનાવો.,charotari,youtube_comments
17,ખુબ સરસ માહિતી ❤,charotari,youtube_comments
18,ખુંબ ખુંબ અભિનંદન 🎉જય સ્વામિનારાયણ 🙏,charotari,youtube_comments
19,ઘડીએ ઘડીએ આ માણસ. આ માણસને પહોંચાય નહિ. માણસ અદભુત છે. માણસ..... માણસ.... માણસ... માણસ..માણસ. માણસ સિવાય કાંઈ નહિ.,charotari,youtube_comments
20,42% જોનારા subscribe કરે છે અને58% એમનેમ જુએ છે,charotari,youtube_comments
21,"ચૌધરી,ગામીત,વસાવા,ભીલ,કુંકણા",charotari,youtube_comments
22,બીજા વાળા કોમેડી વિડીયો મોકલવા માટે વિનંતી,charotari,youtube_comments
23,ઇંગલિશ માં જ બોલવું છે તો શિખડાય ની ને 😮,charotari,youtube_comments
24,"કચ્છી માં તો વાક્ય બોલો યાર, અમને કા ભૂલી જાઓ છો, વાક્ય:- માં મને એક ગ્લાસ પાણી આપશો...!! કચ્છી માં ભાષાંતર:- માં મોકે હેકડો ગ્લાસ પાણી ડેઈને...!!",charotari,youtube_comments
25,Tasmaro kushmab khushmab Aasmabhar. (તમારો ખુબ ખુબ આભાર!),charotari,youtube_comments
26,Ohh આસ્માં ભાસ્માસા મસ્મને અસ્માખી અસ્માવડે છેસ્મે 😊😮🎉,charotari,youtube_comments
27,આ ભાષા માં ' હોશિયારી ' શબ્દ કઈ રીતે બોલાય ?,charotari,youtube_comments
28,મારે નથી શીખવી અટલી અઘરી language 🙏,charotari,youtube_comments
29,હગલું અને ઉદાવી ડીધું એટલે શું,charotari,youtube_comments
30,સૌરાષ્ટ્ર માં કાઠીયાવાડી બોલી બોલિયા છે,charotari,youtube_comments
31,ખખોળીયુ ખાવુ એટલે નાહવું કાઠીયાવાડી માં,charotari,youtube_comments
32,રામાયણ ઉપર મજાક થાય અને લોકો હશે એ દુઃખની વાત છે એકવાર મુસ્લિમ ગ્રંથને મહેસાણી ભાષામાં રજુ કરો અને કેટલા મુસ્લિમો હશે છે એ તમે જુઓ. માયાભાઈ મોરારી બાપુ ના ખૂબ જ પ્રીતિ પાત્ર છે છતાં પણ તે રામાયણ ની મશ્કરી કરે છે. હિન્દુ અને શત્રુ બોધ નથી.,charotari,youtube_comments
33,આપણા હિન્દુ ધર્મ ગ્રંથ પર આવી મજાક કોમેડી કરવાની બંધ કરો... સાચા મર્દના દીકરા હોય તો બીજા કોઈ ધર્મ ગ્રંથ પર આવી મજાક કે કોમેડી કરજો .... ચ્ઠીનું ધાવણ યાદ આવી જશે.... જય શ્રી કૃષ્ણ 😢😢😢😢😢😢😢😢,charotari,youtube_comments
34,મહેસાણા માં એક વર્ષ માટે રહેવા આવો પછી મહેસાણા ની ભાષા આવડે મારા વાલા,charotari,youtube_comments
35,"આજના કલાકારો પૈસા માટે રામની પણ મજાક કરશે, અને સંસ્કારની વાતો પણ કરશે.",charotari,youtube_comments
36,આહિર નો દિકરો સનાતન ધર્મ ની મજાક કરે છે.....હદ છે..... ધન્ય છે તારી જનેતાને...,charotari,youtube_comments
