id,sentence,dialect,source
1,નટુ કાકા નો પગાર હજુ સુધી ખબર નથી પડતી કેટલો છે અને એ. હંમેશા પગાર વધારવાની વાત કરે 😁😁,surti,balanced
2,બબીતા અને જેઠાલાલ નું ચક્કર એડ કર્યું હોત તો વધારે મજા આવત,surti,balanced
3,અજુ લાંબો બનાવતાં આ વિડિઓ...તો સારું હતું😁😁 ..બો મઝા આવી😀😀😆,surti,balanced
4,હસવું આવે છે 🙏😂 બહુ સરસ વિડીયો છે 🤣🤣🥰😍🙂🙂☺️☺️😊😊,surti,balanced
5,ભાઈ મે રોજ જોવ મને ખબર નથી પડતી કે ભિડે માસ્ટર કયા વિષય નુ ટયુશન લઇ છે 🤣😅😂,surti,balanced
6,"બાગા અને બાવરી ના સગાઈ ને કેટલો સમય થઈ ગયો છે ,, લગન સુ 50 ની ઉમર માં કરશે કેમ😂😂",surti,balanced
7,@sonalbenbhatiya203 હવે સિરિયલ માં વધારે ઇટ્રસ નથી રેવાનો લાગે,surti,balanced
8,એ ભીડે માસ્ટર ટ્યુશન લે છે એટલે બધા જ વિષય આવી જાય,surti,balanced
9,"ભાઈ મને તો હજી સુદી એ નઈ ખબર પડતી કે, જેઠાલાલ ના બેડરૂમમાં થી રસોડા માં જવાનો અને ટોયલેટ માં જવાનો બંનેનો એકજ દરવાજો છે..😂😂😂😂",surti,balanced
10,બબીતા અને જેઠાલાલ નો લવ ઊપર એક વીડિયો ભાઈ.. કોઈ દિ સેટિંગ નથી થયું 😁😁,surti,balanced
11,ભાઈ તું વલસાડ નો સે 😉,surti,balanced
12,"મને કેવી રીતે ખબર પડી ખબર સે ભાઈ,મુ જ્યારે pubg રમતો હતો ત્યારે મારી જોડે રેન્ડમ player રમવા આયા હતા તો તે પણ તારા જેવીજ બોલી બોલતા હતા ભાઇ 😉",surti,balanced
13,સુરતી ભાષા છે ભાઈ. સૂરત માં આવા અમારા કારખાને ઘણા બધા છે 😁😁,surti,balanced
14,બહુ મસ્ત વિડિયો છે,surti,balanced
15,વા વા મોજ‌ કરી દીધી😯🥳🥳🥳,surti,balanced
16,મને વિશ્વાસ છે કે ૧૦૦% ચેનલ સુરત ની જ હોવી જોઈએ😁,surti,balanced
17,2 પાર્ટ નાખજો ભાઈ 🤣🤣🤣,surti,balanced
18,જોરદાર ભાઈ.. મજા આવી ગઈ... 🤣🤣,surti,balanced
19,મહેતાના ઘરના અંદરથી દરવાજા ની પાછળ દિવાલ છે જ્યારે સોસાયટી ‌ની બહાર થી દરવાજો ખૂલે ત્યારે અંદરથી તરફ દીવાલ હોય છે 🦹🦹🦹,surti,balanced
20,🤫જે લોકો આવું 🤔વિચારે છે🙏 એવું કાંઈ નથી👍 એ 😂હસાવવા 🤣માટે આ 👉સીરીયલ બનાવે 😍છે તે લોકો😅 કેટલી મહેનત કરે છે આપણને હસાવવા માટે,surti,balanced
21,નાઈસ 😁😁😁😁😁😁અબદુલ ની બયરી દયા ની મા સુદર ના લગન,surti,balanced
22,હા નવરી રાન્ડ નાં છે સાચું ભાઈ 😂😂😂😂 તારક મહેતા વારા,surti,balanced
23,આપણે તો તારક મહેતા કા ઉલ્ટા ચશ્મા જોતા જ નથી😁😁,surti,balanced
24,ભાઈ બનાવો બનાવો....... મજા આવે છે...... આવા વિડિયો ની જરૂર છે..... હવે બીજી કોઈ સિરિયલ પકડો...... 🤣🤣🤣🤣🤣,surti,balanced
25,મને એ કો કોઈ કે ટપુ નય હતો તો દયા જેઠા લાલ ને સુ કય ને બોલાવતી હસે 🤔🤔🤔🤔🤔🤔🤔,surti,balanced
26,હજુ વિડિઓ લાંબો બનાવજો,surti,balanced
