id,sentence,dialect,source
1,અજુ લાંબો બનાવતાં આ વિડિઓ...તો સારું હતું😁😁 ..બો મઝા આવી😀😀😆,surti,youtube_comments
2,ભાઈ તું વલસાડ નો સે 😉,surti,youtube_comments
3,સુરતી ભાષા છે ભાઈ. સૂરત માં આવા અમારા કારખાને ઘણા બધા છે 😁😁,surti,youtube_comments
4,અજુ લાંબો બનાવતાં આ વિડિઓ...તો સારું હતું😁😁 ..બો મઝા આવી😀😀😆 pleash bhai video thoduk moti video bnao bhai pleash bhai,surti,youtube_comments
5,હજુ વિડિઓ લાંબો બનાવજો,surti,youtube_comments
6,બરોડા સુરત ધર્મેશ and frediy episode best,surti,youtube_comments
7,"Not just enjoyed it. I loved it thoroughly . Lots of love for you Freddy, સુરત થી. V N Colour નાનપુરા માં ઘણી વાર તમારા ફોટા જોયા છે, એકાદ વાર સુરત માં એમ પણ જોયા છે. અદ્દભુત charm છે તમારો. ત્યારથી ફ્રેડી દારૂવાલા મને ગમે. ને ગજ્જબ છે આખી લવારી ટીમ. મજા આવે છે તમારા કોમેડી ફેક્ટરી ના episode જોવાની. Live જોવાની ઘણી ઈચ્છા છે. આશા રાખું કે, મારી આ ઈચ્છા હું ટૂંક સમય માં પૂરી કરી શકું.",surti,youtube_comments
8,13:45 Sardar નાગરિક Bardoli,surti,youtube_comments
9,Amnu નામ આજે j સાંભળ્યું છે 😜 કોણ છે Freddy,surti,youtube_comments
10,Video jordar hatto banne tu teleng jordar bhai And Surat @bhavin_variya હીરા ના કારખાના ઉપર વિડિયો બનાવો વાલા,surti,youtube_comments
11,ઐયો ની યોર્ક થી બીજો સબસ્ક્રાઈબર :),surti,youtube_comments
12,આ છુરતી ઓ કેવી ભાષા બોલે છે?? ડોસ્ટાર 😂😂😂,surti,youtube_comments
13,બો મસ્ત વડો.... ગાળ સાંભળી ને મને બો જ મઝા આવે છે,surti,youtube_comments
14,"આ વીડિયો મે 10 વાર જોયો છે, બો મજા આવી ગઈ. ભગવાન તમને તંદુરસ્ત રાખે",surti,youtube_comments
15,"દવાખાના પર વિડિઓ બનાબો ઇનજિક્સન તો જો મોટા લડ જેવુ છે એવી કોમેડી વાળુ વિડિઓ બનાવો ,,,,,",surti,youtube_comments
16,કાથી ?? સુરત થી… કાથી ?? સુરત થી…,surti,youtube_comments
17,ગુજરાતી Hip-Hop 🤩 Navsari thi ❤,surti,youtube_comments
18,સુરત થી !! કાથી સુરત થી !!❤,surti,youtube_comments
19,"🇮🇳📄🖋️ કલા અને કારીગરી ની દૂનિયા અલગ હોય છે. એને અમૂક જ સમજી શકે. તમારા ગીતો માં 🎶🎵🎵 દેશ પ્રેમ, શહેર પર નો પ્રેમ, ગામ પર નો પ્રેમ, અને ગુજરાતી અને ગુજરાત પ્રત્યે નો પ્રેમ તમારી રચના અને ગીતો માં દેખાય છે. હા સૂરત શહેર હા તમારૂં ગામ ભાઈ ભાઈ",surti,youtube_comments
20,હા સૂરત વાળા હા ભાઈ હા 😄😁👆🌸🌼💐🌹,surti,youtube_comments
21,ખમ્મા મારા સુરતીલાલા ખમ્મા...😍 ( Love From Bharuch ♥️ ),surti,youtube_comments
22,❤જોરદાર જોરદાર...👌🏼 લવ ફ્રોમ વલસાડ,surti,youtube_comments
23,બો ભારે ગીત લાલા. ❤. Keep it up 💪,surti,youtube_comments
24,વાહ કાશી પછી જુનું શહેર અમારું ભરૂચ❤,surti,youtube_comments
25,હૂ કે ક્યાંથી સુરત થી હા સૂરત થી ❤❤જાય આદીવાસી 💪💪🔥🔥,surti,youtube_comments
26,હું કે ક્યાંથી સૂરત થી હા સુરત થી ❤🔥🔥🔥😎,surti,youtube_comments
27,કરન ભાઇ જોરદર બનાય વુ ભાઈ માની ગાયા ભાઈ તમને 🖤🖤🖤🖤🖤,surti,youtube_comments
