id,sentence,dialect,source
1,નટુ કાકા નો પગાર હજુ સુધી ખબર નથી પડતી કેટલો છે અને એ. હંમેશા પગાર વધારવાની વાત કરે 😁😁,surti,youtube_comments
2,બબીતા અને જેઠાલાલ નું ચક્કર એડ કર્યું હોત તો વધારે મજા આવત,surti,youtube_comments
3,અજુ લાંબો બનાવતાં આ વિડિઓ...તો સારું હતું😁😁 ..બો મઝા આવી😀😀😆,surti,youtube_comments
4,હસવું આવે છે 🙏😂 બહુ સરસ વિડીયો છે 🤣🤣🥰😍🙂🙂☺️☺️😊😊,surti,youtube_comments
5,ભાઈ મે રોજ જોવ મને ખબર નથી પડતી કે ભિડે માસ્ટર કયા વિષય નુ ટયુશન લઇ છે 🤣😅😂,surti,youtube_comments
6,"બાગા અને બાવરી ના સગાઈ ને કેટલો સમય થઈ ગયો છે ,, લગન સુ 50 ની ઉમર માં કરશે કેમ😂😂",surti,youtube_comments
7,@sonalbenbhatiya203 હવે સિરિયલ માં વધારે ઇટ્રસ નથી રેવાનો લાગે,surti,youtube_comments
8,એ ભીડે માસ્ટર ટ્યુશન લે છે એટલે બધા જ વિષય આવી જાય,surti,youtube_comments
9,"ભાઈ મને તો હજી સુદી એ નઈ ખબર પડતી કે, જેઠાલાલ ના બેડરૂમમાં થી રસોડા માં જવાનો અને ટોયલેટ માં જવાનો બંનેનો એકજ દરવાજો છે..😂😂😂😂",surti,youtube_comments
10,બબીતા અને જેઠાલાલ નો લવ ઊપર એક વીડિયો ભાઈ.. કોઈ દિ સેટિંગ નથી થયું 😁😁,surti,youtube_comments
11,ભાઈ તું વલસાડ નો સે 😉,surti,youtube_comments
12,"મને કેવી રીતે ખબર પડી ખબર સે ભાઈ,મુ જ્યારે pubg રમતો હતો ત્યારે મારી જોડે રેન્ડમ player રમવા આયા હતા તો તે પણ તારા જેવીજ બોલી બોલતા હતા ભાઇ 😉",surti,youtube_comments
13,સુરતી ભાષા છે ભાઈ. સૂરત માં આવા અમારા કારખાને ઘણા બધા છે 😁😁,surti,youtube_comments
14,બહુ મસ્ત વિડિયો છે,surti,youtube_comments
15,વા વા મોજ‌ કરી દીધી😯🥳🥳🥳,surti,youtube_comments
16,મને વિશ્વાસ છે કે ૧૦૦% ચેનલ સુરત ની જ હોવી જોઈએ😁,surti,youtube_comments
17,2 પાર્ટ નાખજો ભાઈ 🤣🤣🤣,surti,youtube_comments
18,જોરદાર ભાઈ.. મજા આવી ગઈ... 🤣🤣,surti,youtube_comments
19,મહેતાના ઘરના અંદરથી દરવાજા ની પાછળ દિવાલ છે જ્યારે સોસાયટી ‌ની બહાર થી દરવાજો ખૂલે ત્યારે અંદરથી તરફ દીવાલ હોય છે 🦹🦹🦹,surti,youtube_comments
20,🤫જે લોકો આવું 🤔વિચારે છે🙏 એવું કાંઈ નથી👍 એ 😂હસાવવા 🤣માટે આ 👉સીરીયલ બનાવે 😍છે તે લોકો😅 કેટલી મહેનત કરે છે આપણને હસાવવા માટે,surti,youtube_comments
21,નાઈસ 😁😁😁😁😁😁અબદુલ ની બયરી દયા ની મા સુદર ના લગન,surti,youtube_comments
