Category,Language / Dialect,Primary Region,Cross-Lingual / Community Influence
Mainstream,Standard Gujarati,"Ahmedabad, Vadodara","The official version; News & Education."
Mainstream,Kathiawari,Saurashtra,"Heavy d/t shifts; sub-dialects: Sorathi, Halari, Jhalawadi."
Mainstream,Surti,South (Surat),"Fast-paced; blends Marathi and English loanwords."
Mainstream,Pattani (Mehsani),"North (Mehsana, Patan)","Vowel-flattening; Che becomes Chha."
Mainstream,Charotari,"Anand, Kheda","Distinct nasal sounds (Anusvara)."
Hybrid,Kutchi,Kutch,"Sindhi + Gujarati; often considered a separate language."
Hybrid,Bagadi,North Border,"Marwari (Rajasthani) + Gujarati."
Hybrid,Vasavi,South Border,"Marathi + Gujarati."
Hybrid,Ghodari,North Hilly Regions,"Rajasthani + Gujarati."
Community,Parsi Gujarati,"Mumbai, South Gujarat","Persian (Farsi) + Urdu + Gujarati."
Community,Lisan ud-Dawat,Bohra Community,"Arabic + Persian + Gujarati."
Community,Musalmani,Various Urban Centers,"Urdu + Gujarati."
Community,Saurashtra,Tamil Nadu (Migrants),"Tamil + Telugu + Old Gujarati."
Tribal (24+),Bhili,Eastern Hilly Belt,"The most widespread tribal language family."
Tribal,Gamit,"Tapi, Dang","Indigenous roots with Marathi influence."
Tribal,Chaudhari,"Surat, Tapi","Distinct tribal grammar and vocabulary."
Tribal,Rathwi,Chhota Udepur,"Spoken by the Rathwa community."
Tribal,Kukna,South Gujarat,"Shared with parts of Maharashtra."
Tribal,Dhodia,"Valsad, Navsari","High concentration in the deep south."
Tribal,Nayki / Tadvi,Central/South Hilly,"Dialects of the Bhil family."
Nomadic,Sidi,Gir / Coastal,"African (Bantu) roots + Gujarati."
Nomadic,Ghisadi,Scattered,"Spoken by the nomadic blacksmith community."
Nomadic,Gaduliya Lohar,Border Areas,"A mix of Marwari and Gujarati."
Coastal,Kharwa,Coastal Saurashtra,"Seafaring community dialect; unique maritime terms."
Coastal,Mangeli,South Coast,"Fishing community; Marathi influence."
